state,obama_votes_12,romney_votes_12,others_votes_12,total_votes_12,obama_share_12
AL,"795,696","1,255,925","22,717","2,074,338",0.387837715
AK,"122,640","164,676","13,179","300,495",0.426847095
AZ,"1,025,232","1,233,654","40,368","2,299,254",0.453866198
AR,"394,409","647,744","27,315","1,069,468",0.378455946
CA,"7,854,285","4,839,958","344,304","13,038,547",0.618728112
CO,"1,323,102","1,185,243","61,177","2,569,522",0.527480072
CT,"905,083","634,892","18,985","1,558,960",0.587725775
DE,"242,584","165,484","5,853","413,921",0.594469549
DC,"267,070","21,381","5,313","293,764",0.925876492
FL,"4,237,756","4,163,447","72,976","8,474,179",0.504422521
GA,"1,773,827","2,078,688","47,535","3,900,050",0.460433509
HI,"306,658","121,015","7,024","434,697",0.717038485
ID,"212,787","420,911","18,576","652,274",0.335786132
IL,"3,019,512","2,135,216","87,286","5,242,014",0.585775234
IN,"1,152,887","1,420,543","51,104","2,624,534",0.447996254
IA,"822,544","730,617","29,019","1,582,180",0.529593519
KS,"440,726","692,634","26,611","1,159,971",0.388866733
KY,"679,370","1,087,190","30,652","1,797,212",0.384572276
LA,"809,141","1,152,262","32,662","1,994,065",0.412531744
ME,"401,306","292,276","19,598","713,180",0.578599214
MD,"1,677,844","971,869","57,614","2,707,327",0.633217258
MA,"1,921,290","1,188,314","58,163","3,167,767",0.617856807
MI,"2,564,569","2,115,256","51,136","4,730,961",0.548005321
MN,"1,546,167","1,320,225","70,169","2,936,561",0.539412265
MS,"562,949","710,746","11,889","1,285,584",0.441981008
MO,"1,223,796","1,482,440","51,087","2,757,323",0.452213332
MT,"201,839","267,928","14,281","484,048",0.429657681
NE,"302,081","475,064","17,234","794,379",0.388706097
NV,"531,373","463,567","19,978","1,014,918",0.534075422
NH,"369,561","329,918","11,493","710,972",0.52833752
NJ,"2,125,101","1,477,568","37,623","3,640,292",0.589868511
NM,"415,335","335,788","32,635","783,758",0.552952046
NY,"4,485,741","2,490,431","104,987","7,081,159",0.643008945
NC,"2,178,391","2,270,395","56,586","4,505,372",0.489659651
ND,"124,827","188,163","9,637","322,627",0.398821049
OH,"2,827,710","2,661,433","91,697","5,580,840",0.515145989
OK,"443,547","891,325",0,"1,334,872",0.332276803
OR,"970,488","754,175","64,607","1,789,270",0.562711672
PA,"2,990,274","2,680,434","82,962","5,753,670",0.52731934
RI,"279,677","157,204","9,168","446,049",0.64016746
SC,"865,941","1,071,645","26,532","1,964,118",0.446917453
SD,"145,039","210,610","8,166","363,815",0.407815009
TN,"960,709","1,462,330","35,538","2,458,577",0.396489285
TX,"3,308,124","4,569,843","115,884","7,993,851",0.419921028
UT,"251,813","740,600","25,027","1,017,440",0.253738111
VT,"199,239","92,698","7,353","299,290",0.682472588
VA,"1,971,820","1,822,522","60,147","3,854,489",0.519673767
WA,"1,755,396","1,290,670","79,450","3,125,516",0.576282983
WV,"238,269","417,655","14,514","670,438",0.363257024
WI,"1,620,985","1,407,966","39,483","3,068,434",0.535163824
WY,"69,286","170,962","8,813","249,061",0.28839366
