"aca.fav","tea.party","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
1,0,1,"UT","Hispanic","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,0,"OK","White","$75,000+","Male","45-64","high school graduate","July","2012","Kaiser"
0,0,0,"IL","White","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
1,0,1,"TX","Hispanic","$40,000-$75,000","Female","30-44","some college","July","2012","Kaiser"
0,0,0,"UT","White","$40,000-$75,000","Female","18-29","high school graduate","July","2012","Kaiser"
NA,NA,0,"TX","Other","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,1,0,"FL",NA,NA,"Male","45-64","high school graduate","July","2012","Kaiser"
0,1,0,"MO","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,NA,0,"MN","White","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
1,1,0,"TX","Hispanic","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"NC","Black","$20,000-$40,000","Male","18-29","postgraduate","July","2012","Kaiser"
0,0,0,"MI","White",NA,"Female","65+","high school graduate","July","2012","Kaiser"
1,0,0,"GA","Other","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
NA,0,1,"WV","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
NA,0,0,"CA","Other","$40,000-$75,000","Female","30-44","college graduate","July","2012","Kaiser"
0,0,1,"FL","White","$40,000-$75,000","Female","45-64","college graduate","July","2012","Kaiser"
0,0,0,"TX","Other","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"WA","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
NA,0,0,"WY","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
1,0,0,"WI","Other","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
NA,0,1,"WA","Black","less than $20,000","Male","45-64","high school graduate","July","2012","Kaiser"
0,1,1,"TX","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
0,NA,0,"UT","White","$75,000+","Female","45-64","some college","July","2012","Kaiser"
0,1,NA,"CA","White","$75,000+","Male","45-64","some college","July","2012","Kaiser"
1,0,NA,"CA","White","$20,000-$40,000","Female","30-44","college graduate","July","2012","Kaiser"
0,1,0,"TX","White","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"WA","Other","$75,000+","Female","30-44","postgraduate","July","2012","Kaiser"
NA,1,0,"OK","White","$40,000-$75,000","Female","30-44","some college","July","2012","Kaiser"
0,0,0,"FL","White","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
0,1,1,"TX","White","less than $20,000","Female","30-44","some college","July","2012","Kaiser"
1,0,1,"NM","Hispanic","less than $20,000","Female","18-29","less than a high school education","July","2012","Kaiser"
0,1,0,"MO","White","$40,000-$75,000","Female","18-29","postgraduate","July","2012","Kaiser"
0,0,1,"AL","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"MS","Black","$40,000-$75,000","Female","65+","some college","July","2012","Kaiser"
NA,0,1,"TX","White","$40,000-$75,000","Female","45-64","high school graduate","July","2012","Kaiser"
0,1,1,"KY","White","$20,000-$40,000","Male","18-29","some college","July","2012","Kaiser"
1,0,1,"KY","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,0,"CA","Hispanic","$20,000-$40,000","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,1,"TN","White","$20,000-$40,000","Female","45-64","college graduate","July","2012","Kaiser"
NA,0,1,"MT","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
0,1,0,"CT","Hispanic","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
1,0,NA,"CO","White","$75,000+","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"FL","Hispanic",NA,"Male","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"TN","White","$75,000+","Female","45-64","some college","July","2012","Kaiser"
1,NA,1,"IA","White","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
0,1,0,"GA","White","$75,000+","Male","30-44","some college","July","2012","Kaiser"
NA,1,0,"OH","White",NA,"Female","18-29","less than a high school education","July","2012","Kaiser"
NA,0,1,"KS","White","$20,000-$40,000","Female","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"PA","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"CA","White","$20,000-$40,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,1,1,"OK","White","$40,000-$75,000","Female","65+","postgraduate","July","2012","Kaiser"
NA,0,NA,"CA","White","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
0,0,0,"AL","White","$20,000-$40,000","Male","45-64","high school graduate","July","2012","Kaiser"
1,0,1,"TN","Black","less than $20,000","Female","65+","high school graduate","July","2012","Kaiser"
0,0,0,"MI","White","$20,000-$40,000","Male","18-29","college graduate","July","2012","Kaiser"
0,1,NA,"WI","White","$40,000-$75,000","Female","45-64","college graduate","July","2012","Kaiser"
1,0,1,"CA","Black","less than $20,000","Female","65+","some college","July","2012","Kaiser"
1,0,1,"OH","White","$75,000+","Female","45-64","college graduate","July","2012","Kaiser"
1,1,1,"AR","White","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
0,0,1,"IL","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
0,0,0,"VA","White","$75,000+","Male","18-29","postgraduate","July","2012","Kaiser"
1,0,0,"NV","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"TN","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
0,0,1,"MS","White","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,0,0,"OH","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"CA","White","$75,000+","Male","45-64","less than a high school education","July","2012","Kaiser"
1,0,0,"PA","White",NA,"Male","30-44","college graduate","July","2012","Kaiser"
0,NA,0,"FL","White",NA,"Female","18-29","college graduate","July","2012","Kaiser"
1,0,1,"SC","White","$40,000-$75,000","Female","45-64","some college","July","2012","Kaiser"
0,1,0,"OH","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
1,0,1,"GA","Black","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
0,1,0,"NV","White","$40,000-$75,000","Male","65+","some college","July","2012","Kaiser"
1,0,1,"OR","White","$75,000+","Male","30-44","postgraduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
0,1,0,"CA","White","$75,000+","Male","18-29","some college","July","2012","Kaiser"
0,0,NA,"FL","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,0,0,"TX","White","$20,000-$40,000","Male","65+","less than a high school education","July","2012","Kaiser"
0,0,0,"TX","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","July","2012","Kaiser"
0,0,1,"IN","White","less than $20,000","Female","30-44","high school graduate","July","2012","Kaiser"
1,0,0,"IL","White","$40,000-$75,000","Male","65+","postgraduate","July","2012","Kaiser"
1,0,0,"NJ","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"CA","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,1,"CA","Hispanic","$20,000-$40,000","Male","18-29","college graduate","July","2012","Kaiser"
NA,0,0,"PA","Hispanic","less than $20,000","Female","45-64","some college","July","2012","Kaiser"
0,0,0,"TX","White","$40,000-$75,000","Male","45-64","some college","July","2012","Kaiser"
0,0,NA,"WI","White",NA,"Male","45-64","some college","July","2012","Kaiser"
1,0,0,"IL","Other","$40,000-$75,000","Male","45-64","less than a high school education","July","2012","Kaiser"
1,1,1,"VA","Black","$40,000-$75,000","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,0,"MO","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
NA,1,1,"CA","Other",NA,"Male","18-29","some college","July","2012","Kaiser"
NA,1,1,"SC","White","less than $20,000","Female","45-64","less than a high school education","July","2012","Kaiser"
1,0,1,"OH","Black","less than $20,000","Female","18-29","some college","July","2012","Kaiser"
0,1,0,"OH","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
0,0,0,"UT","White","$75,000+","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,1,"SC","White","$40,000-$75,000","Female","45-64","postgraduate","July","2012","Kaiser"
1,0,1,"DC","Other","$40,000-$75,000","Male","18-29","postgraduate","July","2012","Kaiser"
1,0,1,"CA","Other","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
NA,NA,NA,"OH","White","less than $20,000","Female","18-29","high school graduate","July","2012","Kaiser"
0,0,NA,"MO","White","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
1,NA,1,"IL","White","$75,000+","Female","30-44","college graduate","July","2012","Kaiser"
NA,0,0,"WI","White","$40,000-$75,000","Male","30-44","high school graduate","July","2012","Kaiser"
NA,NA,0,"TX","White","$75,000+","Female","30-44","high school graduate","July","2012","Kaiser"
0,0,0,"VA","White","$75,000+","Male","18-29","high school graduate","July","2012","Kaiser"
0,0,0,"CA","Hispanic","$75,000+","Male","30-44","less than a high school education","July","2012","Kaiser"
0,1,0,"OH","White","$75,000+","Male","45-64","postgraduate","July","2012","Kaiser"
0,1,0,"FL","White","$75,000+","Female","65+","college graduate","July","2012","Kaiser"
0,0,0,"IA","White","$20,000-$40,000","Female","30-44","college graduate","July","2012","Kaiser"
1,0,1,"NJ","Other","$75,000+","Male","30-44","college graduate","July","2012","Kaiser"
1,0,1,"FL","White","$75,000+","Female","45-64","postgraduate","July","2012","Kaiser"
0,1,1,"NC","White","$20,000-$40,000","Male","30-44","high school graduate","July","2012","Kaiser"
NA,0,1,"RI","Hispanic","less than $20,000","Male","30-44","less than a high school education","July","2012","Kaiser"
NA,1,0,"WA","Other","$20,000-$40,000","Female","18-29","some college","July","2012","Kaiser"
0,NA,0,"FL","White","$40,000-$75,000","Female","18-29","college graduate","July","2012","Kaiser"
NA,NA,1,"NC","White","$20,000-$40,000","Male","18-29","high school graduate","July","2012","Kaiser"
1,0,0,"NC","White","$75,000+","Male","18-29","college graduate","July","2012","Kaiser"
0,0,0,"NY","White","$75,000+","Male","45-64","college graduate","July","2012","Kaiser"
1,0,0,"AK","White","$40,000-$75,000","Male","18-29","college graduate","July","2012","Kaiser"
NA,0,0,"WA","White","$75,000+","Male","30-44","high school graduate","July","2012","Kaiser"
0,0,0,"UT","White","less than $20,000","Male","18-29","postgraduate","July","2012","Kaiser"
1,1,1,"OH","Black","$20,000-$40,000","Male","45-64","some college","July","2012","Kaiser"
0,NA,1,"ND","Hispanic","$20,000-$40,000","Female","18-29","high school graduate","July","2012","Kaiser"
0,1,0,"MN","White","$75,000+","Female","65+","college graduate","July","2012","Kaiser"
NA,0,0,"IL","White",NA,"Male","18-29","high school graduate","July","2012","Kaiser"
1,0,0,"CT","Other","$40,000-$75,000","Male","45-64","college graduate","July","2012","Kaiser"
NA,0,0,"NC","White","$40,000-$75,000","Male","30-44","college graduate","July","2012","Kaiser"
1,1,0,"IL","Hispanic","$40,000-$75,000","Male","18-29","less than a high school education","July","2012","Kaiser"
0,1,0,"NY","White",NA,"Male","65+","college graduate","July","2012","Kaiser"
