"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
0,"IA","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","August","2012","Kaiser"
0,"FL","White","$20,000-$40,000","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
0,"MA","Hispanic","$75,000+","Male","Male.Hispanic","18-29","some college","August","2012","Kaiser"
1,"GA","White","less than $20,000","Female","Female.White","45-64","some college","August","2012","Kaiser"
0,"KY","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"MI","White","$40,000-$75,000","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"TX","Hispanic","less than $20,000","Female","Female.Hispanic","30-44","less than a high school education","August","2012","Kaiser"
1,"FL","White","$75,000+","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"VA","Other","$75,000+","Male","Male.Other","18-29","some college","August","2012","Kaiser"
1,"MA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","some college","August","2012","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","45-64","postgraduate","August","2012","Kaiser"
0,"MD","White","$40,000-$75,000","Female","Female.White","18-29","some college","August","2012","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","18-29","college graduate","August","2012","Kaiser"
1,"PA","White","$20,000-$40,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
1,"VA","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","less than a high school education","August","2012","Kaiser"
0,"FL","Black","$75,000+","Female","Female.Black","45-64","some college","August","2012","Kaiser"
0,"LA","White","$75,000+","Male","Male.White","18-29","some college","August","2012","Kaiser"
0,"OR","White","$40,000-$75,000","Male","Male.White","18-29","less than a high school education","August","2012","Kaiser"
0,"CA","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","August","2012","Kaiser"
1,"RI","White","$75,000+","Female","Female.White","30-44","college graduate","August","2012","Kaiser"
0,"PA","White","$75,000+","Male","Male.White","30-44","college graduate","August","2012","Kaiser"
1,"WI","White","$20,000-$40,000","Female","Female.White","18-29","some college","August","2012","Kaiser"
0,"WI","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","August","2012","Kaiser"
0,"MO","White","$40,000-$75,000","Female","Female.White","45-64","college graduate","August","2012","Kaiser"
0,"NJ","Black","$20,000-$40,000","Male","Male.Black","18-29","high school graduate","August","2012","Kaiser"
1,"MA","White","$20,000-$40,000","Male","Male.White","30-44","some college","August","2012","Kaiser"
0,"GA","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","August","2012","Kaiser"
0,"FL","Other","$75,000+","Male","Male.Other","45-64","college graduate","August","2012","Kaiser"
1,"TX","Hispanic","$40,000-$75,000","Female","Female.Hispanic","18-29","high school graduate","August","2012","Kaiser"
1,"WI","White","$40,000-$75,000","Female","Female.White","30-44","postgraduate","August","2012","Kaiser"
1,"MI","White","$75,000+","Male","Male.White","18-29","high school graduate","August","2012","Kaiser"
