"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org"
NA,0,"NJ","White","$75,000+","Female","45-64","some college","February","2013","Kaiser"
0,0,"NY","White","$40,000-$75,000","Female","65+","college graduate","February","2013","Kaiser"
0,0,"FL","White",NA,"Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"NY","White","$40,000-$75,000","Male","45-64","postgraduate","February","2013","Kaiser"
0,0,"CT","White","$40,000-$75,000","Male","65+","some college","February","2013","Kaiser"
1,0,"PA","White","$75,000+","Female","30-44","college graduate","February","2013","Kaiser"
0,0,"MA","White","$40,000-$75,000","Male","30-44","college graduate","February","2013","Kaiser"
NA,0,"NY","White","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"OH","White",NA,"Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"WI","White","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
NA,NA,"TX","Hispanic","less than $20,000","Female","45-64","less than a high school education","February","2013","Kaiser"
1,0,"TX","White",NA,"Female","45-64","some college","February","2013","Kaiser"
0,0,"IN","White","$20,000-$40,000","Female","65+","some college","February","2013","Kaiser"
1,NA,"FL","Other","$40,000-$75,000","Male","18-29","college graduate","February","2013","Kaiser"
1,0,"NC","Black","$40,000-$75,000","Male","30-44","college graduate","February","2013","Kaiser"
1,0,"TX","Black","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,0,"OH","White","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
0,0,"PA","White",NA,"Female","65+","high school graduate","February","2013","Kaiser"
0,1,"TX","White",NA,"Female","65+","college graduate","February","2013","Kaiser"
0,1,"IL","White",NA,"Female","30-44","some college","February","2013","Kaiser"
1,NA,"FL","Black","less than $20,000","Female","65+","high school graduate","February","2013","Kaiser"
0,NA,"KY","Hispanic","$20,000-$40,000","Female","30-44","high school graduate","February","2013","Kaiser"
0,NA,"NH",NA,NA,"Female","45-64","college graduate","February","2013","Kaiser"
1,0,"IL","White","$20,000-$40,000","Female","45-64","high school graduate","February","2013","Kaiser"
1,0,"KS","White","$40,000-$75,000","Female","30-44","college graduate","February","2013","Kaiser"
0,1,"MA","White",NA,"Female","65+","college graduate","February","2013","Kaiser"
1,0,"WI","White","$40,000-$75,000","Male","65+","less than a high school education","February","2013","Kaiser"
