"aca.fav","exp.medicaid","state","race","income","sex","age","education","month","year","polling.org"
0,0,"VA","White","$40,000-$75,000","Female","30-44","postgraduate","March","2013","Kaiser"
0,NA,"PA","White","$40,000-$75,000","Female","65+","high school graduate","March","2013","Kaiser"
0,0,"IN","White","$20,000-$40,000","Female","65+","postgraduate","March","2013","Kaiser"
NA,1,"NC","Hispanic","less than $20,000","Female","45-64","less than a high school education","March","2013","Kaiser"
1,1,"VA","Black","$75,000+","Female","30-44","postgraduate","March","2013","Kaiser"
0,0,"NY","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,1,"MA","White","$75,000+","Female","30-44","some college","March","2013","Kaiser"
1,1,"NY","White","less than $20,000","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"NC","White",NA,"Female","45-64","postgraduate","March","2013","Kaiser"
0,1,"OH","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
0,NA,"MD","Other","less than $20,000","Female","30-44","high school graduate","March","2013","Kaiser"
1,1,"MA","Hispanic","less than $20,000","Male","65+","less than a high school education","March","2013","Kaiser"
1,1,"CT","White","$75,000+","Female","45-64","postgraduate","March","2013","Kaiser"
0,0,"OH","White","$75,000+","Male","45-64","high school graduate","March","2013","Kaiser"
0,0,"PA","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"KS","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
0,1,"IL","White","$20,000-$40,000","Female","45-64","some college","March","2013","Kaiser"
0,0,"VA","White","$75,000+","Male","45-64","postgraduate","March","2013","Kaiser"
0,1,"AL","Black","$20,000-$40,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"MO","White","$40,000-$75,000","Male","45-64","some college","March","2013","Kaiser"
NA,1,"NJ","White","$20,000-$40,000","Male","30-44","some college","March","2013","Kaiser"
0,0,"RI","White","less than $20,000","Male","65+","some college","March","2013","Kaiser"
0,NA,"NY","White","less than $20,000","Female","65+","postgraduate","March","2013","Kaiser"
0,0,"NC","White","$75,000+","Male","65+","postgraduate","March","2013","Kaiser"
NA,0,"MN","White","$75,000+","Female","30-44","college graduate","March","2013","Kaiser"
0,0,"MO","White",NA,"Male","65+","college graduate","March","2013","Kaiser"
1,1,"NY","White","$40,000-$75,000","Female","65+","college graduate","March","2013","Kaiser"
1,1,"FL","Hispanic","less than $20,000","Female","45-64","high school graduate","March","2013","Kaiser"
0,0,"VA","White","$20,000-$40,000","Male","65+","college graduate","March","2013","Kaiser"
1,1,"SC","Black","less than $20,000","Female","65+","high school graduate","March","2013","Kaiser"
1,0,"TX","White","$20,000-$40,000","Female","65+","high school graduate","March","2013","Kaiser"
1,1,"AR",NA,"$40,000-$75,000","Male","45-64","college graduate","March","2013","Kaiser"
0,0,"IL","White",NA,"Male","65+","some college","March","2013","Kaiser"
1,1,"MA","White","$75,000+","Female","45-64","college graduate","March","2013","Kaiser"
