"aca.fav","state","race","income","sex","age","education","month","year","polling.org"
0,"NY","White",NA,"Male","65+","some college","August","2013","Kaiser"
NA,"PA","White","$20,000-$40,000","Male","65+","high school graduate","August","2013","Kaiser"
1,"PA","White",NA,"Female","65+","high school graduate","August","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
0,"MO",NA,NA,"Male","45-64","postgraduate","August","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"MD","Black","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
0,"NC",NA,"$75,000+","Female","30-44","college graduate","August","2013","Kaiser"
0,"TX","White","$20,000-$40,000","Male","45-64","postgraduate","August","2013","Kaiser"
NA,"LA","Other","$75,000+","Female","45-64","some college","August","2013","Kaiser"
1,"FL","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
NA,"FL","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
1,"NC","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
0,"MN","White","$75,000+","Female","65+","college graduate","August","2013","Kaiser"
NA,"MA","White","$75,000+","Male","65+","college graduate","August","2013","Kaiser"
1,"MO","Black","$75,000+","Male","45-64","some college","August","2013","Kaiser"
1,"TX","White","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
0,"TX",NA,"$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
NA,"GA","Hispanic",NA,"Female","18-29","some college","August","2013","Kaiser"
0,"FL","White","$40,000-$75,000","Male","45-64","some college","August","2013","Kaiser"
1,"FL","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
1,"MO","White","less than $20,000","Male","18-29","some college","August","2013","Kaiser"
1,"SC","White","$20,000-$40,000","Male","45-64","postgraduate","August","2013","Kaiser"
0,"UT","White","$75,000+","Male","65+","college graduate","August","2013","Kaiser"
0,"SC","White","less than $20,000","Female","65+","some college","August","2013","Kaiser"
0,"MT","White","$40,000-$75,000","Male","45-64","college graduate","August","2013","Kaiser"
1,"TX","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"TX","White",NA,"Female","65+","some college","August","2013","Kaiser"
0,"TN","White","$40,000-$75,000","Male","65+","postgraduate","August","2013","Kaiser"
NA,"MA","Other","$75,000+","Female","30-44","postgraduate","August","2013","Kaiser"
NA,"NC","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
0,"CO",NA,"$75,000+","Male","65+","some college","August","2013","Kaiser"
0,"TX","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
NA,"TX","White","less than $20,000","Female","45-64","high school graduate","August","2013","Kaiser"
1,"MS","White","less than $20,000","Male","65+","high school graduate","August","2013","Kaiser"
0,"MD","White","$40,000-$75,000","Male","65+","college graduate","August","2013","Kaiser"
1,"IL","Black","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
0,"UT","White","$75,000+","Female","65+","college graduate","August","2013","Kaiser"
1,"MN","White","$75,000+","Female","45-64","college graduate","August","2013","Kaiser"
0,"PA","White","$40,000-$75,000","Male","45-64","high school graduate","August","2013","Kaiser"
NA,"GA","White","$75,000+","Male","65+","high school graduate","August","2013","Kaiser"
0,"IN","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
0,"UT","White","$40,000-$75,000","Female","30-44","college graduate","August","2013","Kaiser"
0,"CT",NA,NA,"Female","65+","college graduate","August","2013","Kaiser"
1,"MN","White","$40,000-$75,000","Female","65+","postgraduate","August","2013","Kaiser"
0,"CA","White","$20,000-$40,000","Female","65+","high school graduate","August","2013","Kaiser"
NA,"CA","White","$75,000+","Female","65+","some college","August","2013","Kaiser"
0,"OK","White","$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
1,"TN","White","$40,000-$75,000","Female","45-64","some college","August","2013","Kaiser"
0,"OR","White","$20,000-$40,000","Female","65+","some college","August","2013","Kaiser"
0,"WA","White",NA,"Male","65+","college graduate","August","2013","Kaiser"
0,"MA","White","$75,000+","Male","30-44","some college","August","2013","Kaiser"
1,"KS","White","less than $20,000","Female","45-64","college graduate","August","2013","Kaiser"
1,"TN","Black","$20,000-$40,000","Female","45-64","high school graduate","August","2013","Kaiser"
0,"IL","White","$40,000-$75,000","Female","65+","high school graduate","August","2013","Kaiser"
1,"MI","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
0,"VA","White","$75,000+","Male","65+","postgraduate","August","2013","Kaiser"
0,"VA","White","$20,000-$40,000","Female","65+","postgraduate","August","2013","Kaiser"
1,"PA","White","$40,000-$75,000","Male","45-64","postgraduate","August","2013","Kaiser"
0,"OH","White",NA,"Female","30-44","postgraduate","August","2013","Kaiser"
1,"NJ","White","$75,000+","Male","45-64","postgraduate","August","2013","Kaiser"
1,"NJ","Black","less than $20,000","Male","45-64","college graduate","August","2013","Kaiser"
0,"ID","White","$75,000+","Male","30-44","college graduate","August","2013","Kaiser"
0,"NM",NA,"$20,000-$40,000","Female","45-64","some college","August","2013","Kaiser"
