"aca.fav","state","race","income","sex","sex.race","age","education","month","year","polling.org"
0,"GA","Black","less than $20,000","Female","Female.Black","65+","high school graduate","November","2013","Kaiser"
0,"FL","White","$20,000-$40,000","Male","Male.White","45-64","some college","November","2013","Kaiser"
0,"NJ","White","$20,000-$40,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"MI","White","$40,000-$75,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
1,"FL","White","$75,000+","Male","Male.White","65+","postgraduate","November","2013","Kaiser"
0,"GA","White","$75,000+","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"PA","White","$75,000+","Male","Male.White","45-64","postgraduate","November","2013","Kaiser"
0,"GA","White","$40,000-$75,000","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"RI","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","some college","November","2013","Kaiser"
0,"FL","White","$20,000-$40,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"AL","Other","$40,000-$75,000","Male","Male.Other","65+","some college","November","2013","Kaiser"
0,"NH","White","$20,000-$40,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"IN","White","$20,000-$40,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
1,"NY","Black","less than $20,000","Female","Female.Black","45-64","some college","November","2013","Kaiser"
0,"OH","White","$20,000-$40,000","Male","Male.White","30-44","less than a high school education","November","2013","Kaiser"
0,"NY","White","$20,000-$40,000","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"MN","White","$75,000+","Male","Male.White","65+","postgraduate","November","2013","Kaiser"
1,"NJ","White","$75,000+","Male","Male.White","45-64","high school graduate","November","2013","Kaiser"
0,"TN","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","November","2013","Kaiser"
0,"NY","Hispanic","less than $20,000","Female","Female.Hispanic","45-64","high school graduate","November","2013","Kaiser"
0,"MO","White","$40,000-$75,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"DE","White","$75,000+","Female","Female.White","45-64","postgraduate","November","2013","Kaiser"
0,"IN","White","$75,000+","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
0,"NY","White","$75,000+","Male","Male.White","65+","some college","November","2013","Kaiser"
0,"NY","White","$20,000-$40,000","Female","Female.White","45-64","less than a high school education","November","2013","Kaiser"
1,"WI","White","less than $20,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
0,"LA","White","$75,000+","Male","Male.White","65+","postgraduate","November","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Male","Male.White","65+","college graduate","November","2013","Kaiser"
1,"AL","Black","$20,000-$40,000","Female","Female.Black","65+","some college","November","2013","Kaiser"
0,"LA","White","$40,000-$75,000","Male","Male.White","18-29","some college","November","2013","Kaiser"
0,"AZ","White","$40,000-$75,000","Male","Male.White","65+","high school graduate","November","2013","Kaiser"
0,"IL","Black","$40,000-$75,000","Female","Female.Black","45-64","some college","November","2013","Kaiser"
0,"CO","White","$20,000-$40,000","Female","Female.White","45-64","high school graduate","November","2013","Kaiser"
0,"MT","White","$20,000-$40,000","Female","Female.White","30-44","some college","November","2013","Kaiser"
1,"WI","White","$20,000-$40,000","Male","Male.White","30-44","high school graduate","November","2013","Kaiser"
0,"AZ","White","$75,000+","Female","Female.White","45-64","some college","November","2013","Kaiser"
0,"MI","White","$40,000-$75,000","Female","Female.White","45-64","some college","November","2013","Kaiser"
0,"KS","White","$75,000+","Female","Female.White","65+","college graduate","November","2013","Kaiser"
0,"MI","White","$75,000+","Female","Female.White","45-64","college graduate","November","2013","Kaiser"
0,"CO","Hispanic","$20,000-$40,000","Male","Male.Hispanic","30-44","postgraduate","November","2013","Kaiser"
0,"PA","White","$20,000-$40,000","Male","Male.White","65+","some college","November","2013","Kaiser"
0,"MD","Hispanic","$20,000-$40,000","Female","Female.Hispanic","45-64","high school graduate","November","2013","Kaiser"
1,"NM","White","less than $20,000","Female","Female.White","30-44","college graduate","November","2013","Kaiser"
1,"CO","White","$75,000+","Female","Female.White","65+","some college","November","2013","Kaiser"
0,"TX","White","less than $20,000","Female","Female.White","65+","high school graduate","November","2013","Kaiser"
1,"NY","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","November","2013","Kaiser"
0,"LA","White","$20,000-$40,000","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"TX","White","$40,000-$75,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"NY","White","less than $20,000","Female","Female.White","65+","some college","November","2013","Kaiser"
0,"SC","White","$20,000-$40,000","Female","Female.White","18-29","high school graduate","November","2013","Kaiser"
0,"NJ","White","$40,000-$75,000","Female","Female.White","65+","some college","November","2013","Kaiser"
1,"UT","White","$40,000-$75,000","Female","Female.White","65+","college graduate","November","2013","Kaiser"
0,"IL","White","$75,000+","Male","Male.White","45-64","postgraduate","November","2013","Kaiser"
0,"CO","White","less than $20,000","Female","Female.White","45-64","some college","November","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","45-64","postgraduate","November","2013","Kaiser"
0,"NH","White","$40,000-$75,000","Female","Female.White","65+","some college","November","2013","Kaiser"
0,"GA","White","$20,000-$40,000","Female","Female.White","30-44","high school graduate","November","2013","Kaiser"
1,"AZ","Hispanic","$40,000-$75,000","Female","Female.Hispanic","65+","some college","November","2013","Kaiser"
0,"OR","White","$20,000-$40,000","Male","Male.White","45-64","some college","November","2013","Kaiser"
1,"MT","White","less than $20,000","Female","Female.White","65+","some college","November","2013","Kaiser"
0,"MO","White","$40,000-$75,000","Female","Female.White","65+","postgraduate","November","2013","Kaiser"
1,"CA","Black","$40,000-$75,000","Female","Female.Black","65+","some college","November","2013","Kaiser"
1,"AL","White","$75,000+","Male","Male.White","45-64","some college","November","2013","Kaiser"
0,"TX","White","$75,000+","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"WA","White","$40,000-$75,000","Male","Male.White","45-64","college graduate","November","2013","Kaiser"
0,"CA","White","$40,000-$75,000","Female","Female.White","45-64","high school graduate","November","2013","Kaiser"
1,"CA","Black","less than $20,000","Female","Female.Black","65+","some college","November","2013","Kaiser"
1,"CA","White","$75,000+","Female","Female.White","45-64","postgraduate","November","2013","Kaiser"
1,"CA","White","$20,000-$40,000","Female","Female.White","65+","college graduate","November","2013","Kaiser"
0,"TN","White","$20,000-$40,000","Female","Female.White","65+","college graduate","November","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","45-64","some college","November","2013","Kaiser"
1,"TN","Black","$20,000-$40,000","Female","Female.Black","45-64","some college","November","2013","Kaiser"
0,"MN","White","$75,000+","Female","Female.White","30-44","postgraduate","November","2013","Kaiser"
0,"WA","White","$20,000-$40,000","Male","Male.White","65+","some college","November","2013","Kaiser"
0,"WA","White","$75,000+","Female","Female.White","30-44","high school graduate","November","2013","Kaiser"
0,"OR","White","$75,000+","Male","Male.White","45-64","some college","November","2013","Kaiser"
0,"CA","White","$75,000+","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"AL","White","$40,000-$75,000","Female","Female.White","18-29","some college","November","2013","Kaiser"
0,"CO","White","$20,000-$40,000","Male","Male.White","65+","college graduate","November","2013","Kaiser"
0,"UT","White","$20,000-$40,000","Female","Female.White","65+","some college","November","2013","Kaiser"
