"aca.fav","tea.party","state","race","income","sex","age","education","month","year","polling.org","exp.medicaid"
1,0,"PA","White",NA,"Female","30-44","high school graduate","January",2012,"Kaiser",NA
0,0,"CT","White","less than $20,000","Female","45-64","some college","January",2012,"Kaiser",NA
0,0,"MS","White","less than $20,000","Female","65+","less than a high school education","January",2012,"Kaiser",NA
1,0,"MA","White",NA,"Female","45-64","postgraduate","January",2012,"Kaiser",NA
0,0,"CA","White","$40,000-$75,000","Female","65+","college graduate","January",2012,"Kaiser",NA
NA,0,"NC","Black","$20,000-$40,000","Male","45-64","high school graduate","January",2012,"Kaiser",NA
0,0,"VA","White","$40,000-$75,000","Female","45-64","some college","January",2012,"Kaiser",NA
0,1,"PA","White","$20,000-$40,000","Female","65+","some college","January",2012,"Kaiser",NA
0,NA,"IL","White","$75,000+","Male","45-64","some college","January",2012,"Kaiser",NA
NA,NA,"FL",NA,NA,"Male","30-44",NA,"January",2012,"Kaiser",NA
1,0,"GA","White",NA,"Male","45-64","postgraduate","January",2012,"Kaiser",NA
1,0,"IA","White",NA,"Male","45-64","high school graduate","January",2012,"Kaiser",NA
0,1,"NV","White","less than $20,000","Female","65+","high school graduate","January",2012,"Kaiser",NA
1,0,"MD","Other","$20,000-$40,000","Male","65+","some college","January",2012,"Kaiser",NA
0,0,"CA","White","less than $20,000","Female","65+","college graduate","January",2012,"Kaiser",NA
0,1,"CA","White","$40,000-$75,000","Female","65+","some college","January",2012,"Kaiser",NA
1,0,"MN","White","$20,000-$40,000","Female","45-64","high school graduate","January",2012,"Kaiser",NA
1,0,"MN","White","$20,000-$40,000","Male","65+","high school graduate","January",2012,"Kaiser",NA
1,0,"SD","White","$40,000-$75,000","Male","45-64","college graduate","January",2012,"Kaiser",NA
1,0,"DC","White","$40,000-$75,000","Male","30-44","college graduate","January",2012,"Kaiser",NA
1,0,"NJ","Hispanic","$20,000-$40,000","Male","30-44","some college","January",2012,"Kaiser",NA
0,0,"NY","Black","$20,000-$40,000","Female","30-44","some college","January",2012,"Kaiser",NA
NA,1,"NY","Other","less than $20,000","Female","45-64","college graduate","January",2012,"Kaiser",NA
0,0,"AR","White","less than $20,000","Male","45-64","high school graduate","January",2012,"Kaiser",NA
0,0,"VA","White","$20,000-$40,000","Male","30-44","high school graduate","January",2012,"Kaiser",NA
0,0,"MD","White","$40,000-$75,000","Female","18-29","some college","January",2012,"Kaiser",NA
1,0,"OR","Hispanic","$40,000-$75,000","Female","45-64","postgraduate","January",2012,"Kaiser",NA
0,1,"OR","White","$75,000+","Male","30-44","postgraduate","January",2012,"Kaiser",NA
NA,0,"NH","White","$20,000-$40,000","Male","45-64","high school graduate","January",2012,"Kaiser",NA
